name	gisaid_epi_isl	date	country	loc
Belgium_ULG-23692_2022	EPI_ISL_8893788	2022-01-04	Belgium	bg
Belgium_ULG-23725_2022	EPI_ISL_8893822	2022-01-11	Belgium	bg
Belgium_ULG-23682_2022	EPI_ISL_8893778	2022-01-03	Belgium	bg
Belgium_ULG-23713_2022	EPI_ISL_8893810	2022-01-11	Belgium	bg
Belgium_ULG-23729_2022	EPI_ISL_8893826	2022-01-13	Belgium	bg
Belgium_ULG-23722_2022	EPI_ISL_8893819	2022-01-11	Belgium	bg
Belgium_ULG-23743_2022	EPI_ISL_8893840	2022-01-15	Belgium	bg
Belgium_ULG-23704_2022	EPI_ISL_8893801	2022-01-10	Belgium	bg
Belgium_ULG-23724_2022	EPI_ISL_8893821	2022-01-11	Belgium	bg
Belgium_ULG-23693_2022	EPI_ISL_8893789	2022-01-04	Belgium	bg
Belgium_AZDelta-2207-19088_2022	EPI_ISL_10609177	2022-02-24	Belgium	bg
Belgium_ULG-23705_2022	EPI_ISL_8893802	2022-01-10	Belgium	bg
Belgium_ULG-23701_2022	EPI_ISL_8893797	2022-01-04	Belgium	bg
Belgium_AZDelta-2208-03029_2022	EPI_ISL_10609196	2022-02-24	Belgium	bg
Belgium_ULG-23687_2022	EPI_ISL_8893783	2022-01-04	Belgium	bg
Belgium_ULG-23718_2022	EPI_ISL_8893815	2022-01-11	Belgium	bg
Belgium_ULG-23735_2022	EPI_ISL_8893832	2022-01-14	Belgium	bg
Belgium_ULG-23727_2022	EPI_ISL_8893824	2022-01-12	Belgium	bg
Belgium_ULG-23706_2022	EPI_ISL_8893803	2022-01-10	Belgium	bg
Belgium_ULG-23690_2022	EPI_ISL_8893786	2022-01-04	Belgium	bg
Belgium_ULG-23702_2022	EPI_ISL_8893798	2022-01-05	Belgium	bg
Belgium_ULG-23721_2022	EPI_ISL_8893818	2022-01-11	Belgium	bg
Belgium_ULG-23698_2022	EPI_ISL_8893794	2022-01-04	Belgium	bg
Belgium_ULG-23739_2022	EPI_ISL_8893836	2022-01-14	Belgium	bg
Belgium_Jessa_11-2203-001071LKO_2022	EPI_ISL_8903493	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001065LKO_2022	EPI_ISL_8903489	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001089LKO_2022	EPI_ISL_8903497	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001077LKO_2022	EPI_ISL_8903495	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001355ZOL_2022	EPI_ISL_8903506	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001272ZOL_2022	EPI_ISL_8903501	2022-01-17	Belgium	bg
Belgium_Jessa_11-2202-007596_2022	EPI_ISL_8903476	2022-01-15	Belgium	bg
Belgium_Jessa_11-2203-001387ZOL_2022	EPI_ISL_8903518	2022-01-17	Belgium	bg
Belgium_Jessa_11-2202-007629_2022	EPI_ISL_8903478	2022-01-15	Belgium	bg
Belgium_Jessa_11-2202-006246_2022	EPI_ISL_8903510	2022-01-14	Belgium	bg
Belgium_Jessa_11-2203-001276ZOL_2022	EPI_ISL_8903502	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001285ZOL_2022	EPI_ISL_8903503	2022-01-17	Belgium	bg
Belgium_Jessa_11-2202-007520_2022	EPI_ISL_8903475	2022-01-15	Belgium	bg
Belgium_Jessa_55-2202-002488_2022	EPI_ISL_8903525	2022-01-16	Belgium	bg
Belgium_Jessa_11-2203-001267ZOL_2022	EPI_ISL_8903500	2022-01-17	Belgium	bg
Belgium_Jessa_55-2202-002383_2022	EPI_ISL_8903530	2022-01-16	Belgium	bg
Belgium_Jessa_11-2203-001377ZOL_2022	EPI_ISL_8903516	2022-01-17	Belgium	bg
Belgium_Jessa_11-2202-005104_2022	EPI_ISL_8903509	2022-01-13	Belgium	bg
Belgium_Jessa_11-2203-001370ZOL_2022	EPI_ISL_8903512	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001374ZOL_2022	EPI_ISL_8903514	2022-01-17	Belgium	bg
Belgium_Jessa_51-2202-000064_2022	EPI_ISL_8903520	2022-01-13	Belgium	bg
Belgium_Jessa_11-2203-001362ZOL_2022	EPI_ISL_8903508	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001170LKO_2022	EPI_ISL_8903499	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001068LKO_2022	EPI_ISL_8903491	2022-01-17	Belgium	bg
Belgium_Jessa_55-2202-002566_2022	EPI_ISL_8903522	2022-01-16	Belgium	bg
Belgium_Jessa_11-2202-002831_2022	EPI_ISL_8903474	2022-01-11	Belgium	bg
Belgium_Jessa_11-2203-001382ZOL_2022	EPI_ISL_8903517	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001294ZOL_2022	EPI_ISL_8903504	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001092LKO_2022	EPI_ISL_8903498	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001015LKO_2022	EPI_ISL_8903480	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001087LKO_2022	EPI_ISL_8903496	2022-01-17	Belgium	bg
Belgium_Jessa_55-2203-000531_2022	EPI_ISL_8903527	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001053LKO_2022	EPI_ISL_8903484	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001391ZOL_2022	EPI_ISL_8903519	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001026LKO_2022	EPI_ISL_8903481	2022-01-17	Belgium	bg
Belgium_Jessa_11-2203-001069LKO_2022	EPI_ISL_8903492	2022-01-17	Belgium	bg
Belgium_Jessa_55-2202-002511_2022	EPI_ISL_8903523	2022-01-16	Belgium	bg
Belgium_UZA-UA-MI22072893_2022	EPI_ISL_12406981	2022-02-20	Belgium	bg
Belgium_UZA-UA-MI22022432_2022	EPI_ISL_12406979	2022-01-14	Belgium	bg
Belgium_IPG-1526_2022	EPI_ISL_12407598	2022-03-22	Belgium	bg
Belgium_UZA-UA-MI22060940_2022	EPI_ISL_12406980	2022-02-08	Belgium	bg
Belgium_ULG-25094_2022	EPI_ISL_10638738	2022-02-07	Belgium	bg
Belgium_UMONS-P042936701_2021	EPI_ISL_7544950	2021-12-07	Belgium	bg
Belgium_ULG-25054_2022	EPI_ISL_10638700	2022-02-04	Belgium	bg
Belgium_ULG-25109_2022	EPI_ISL_10638753	2022-02-05	Belgium	bg
Belgium_Jessa_11-2209-001005ZOL_2022	EPI_ISL_10640349	2022-02-28	Belgium	bg
Belgium_ULG-25065_2022	EPI_ISL_10638710	2022-02-04	Belgium	bg
Belgium_ULG-25100_2022	EPI_ISL_10638744	2022-02-04	Belgium	bg
Belgium_UMONS-J768291501_2022	EPI_ISL_10645467	2022-02-15	Belgium	bg
Belgium_UMONS-J769702601_2022	EPI_ISL_10645499	2022-02-19	Belgium	bg
Belgium_UMONS-J767722301_2022	EPI_ISL_10645471	2022-02-14	Belgium	bg
Belgium_UMONS-J769496701_2022	EPI_ISL_10645485	2022-02-18	Belgium	bg
Belgium_ULG-25108_2022	EPI_ISL_10638752	2022-02-04	Belgium	bg
Belgium_Jessa_11-2209-000681LKO_2022	EPI_ISL_10640334	2022-02-28	Belgium	bg
Belgium_UMONS-N739579201_2021	EPI_ISL_7544980	2021-12-08	Belgium	bg
Belgium_Jessa_11-2209-000669LKO_2022	EPI_ISL_10640344	2022-02-28	Belgium	bg
Belgium_UMONS-N769509601_2022	EPI_ISL_10645493	2022-02-18	Belgium	bg
Belgium_Jessa_11-2209-001028ZOL_2022	EPI_ISL_10640362	2022-02-28	Belgium	bg
Belgium_UMONS-J769756401_2022	EPI_ISL_10645500	2022-02-20	Belgium	bg
Belgium_UMONS-N769139201_2022	EPI_ISL_10645488	2022-02-17	Belgium	bg
Belgium_ULG-25092_2022	EPI_ISL_10638736	2022-02-04	Belgium	bg
Belgium_UMONS-P043426201_2021	EPI_ISL_7544972	2021-12-08	Belgium	bg
