name	gisaid_epi_isl	date	country	loc
hCoV-19_Belgium_rega-34177_2022	EPI_ISL_14629074	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34176_2022	EPI_ISL_14629073	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34289_2022	EPI_ISL_14629186	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34279_2022	EPI_ISL_14629176	2022-02-26	Belgium	leuven
hCoV-19_Belgium_rega-34278_2022	EPI_ISL_14629175	2022-02-26	Belgium	leuven
hCoV-19_Belgium_rega-34268_2022	EPI_ISL_14629165	2022-02-26	Belgium	leuven
hCoV-19_Belgium_rega-34222_2022	EPI_ISL_14629119	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34221_2022	EPI_ISL_14629118	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34220_2022	EPI_ISL_14629117	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34219_2022	EPI_ISL_14629116	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34218_2022	EPI_ISL_14629115	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34217_2022	EPI_ISL_14629114	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34216_2022	EPI_ISL_14629113	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34198_2022	EPI_ISL_14629095	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34197_2022	EPI_ISL_14629094	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34196_2022	EPI_ISL_14629093	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34195_2022	EPI_ISL_14629092	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34194_2022	EPI_ISL_14629091	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34193_2022	EPI_ISL_14629090	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-34038_2022	EPI_ISL_14628935	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-34031_2022	EPI_ISL_14628928	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-34018_2022	EPI_ISL_14628915	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-34017_2022	EPI_ISL_14628914	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-34014_2022	EPI_ISL_14628911	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-34008_2022	EPI_ISL_14628905	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-34004_2022	EPI_ISL_14628901	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-34003_2022	EPI_ISL_14628900	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33985_2022	EPI_ISL_14628882	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33984_2022	EPI_ISL_14628881	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33983_2022	EPI_ISL_14628880	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33970_2022	EPI_ISL_14628867	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33969_2022	EPI_ISL_14628866	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33968_2022	EPI_ISL_14628865	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33967_2022	EPI_ISL_14628864	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33964_2022	EPI_ISL_14628861	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33963_2022	EPI_ISL_14628860	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33962_2022	EPI_ISL_14628859	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33961_2022	EPI_ISL_14628858	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33960_2022	EPI_ISL_14628857	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33958_2022	EPI_ISL_14628855	2022-02-14	Belgium	leuven
hCoV-19_Belgium_rega-33956_2022	EPI_ISL_14628853	2022-02-14	Belgium	leuven
hCoV-19_Belgium_rega-33842_2022	EPI_ISL_14628739	2022-02-19	Belgium	leuven
hCoV-19_Belgium_rega-33832_2022	EPI_ISL_14628729	2022-02-19	Belgium	leuven
hCoV-19_Belgium_rega-33831_2022	EPI_ISL_14628728	2022-02-19	Belgium	leuven
hCoV-19_Belgium_rega-33686_2022	EPI_ISL_14622608	2022-03-03	Belgium	leuven
hCoV-19_Belgium_rega-33562_2022	EPI_ISL_14622483	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33561_2022	EPI_ISL_14622482	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33559_2022	EPI_ISL_14622480	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33558_2022	EPI_ISL_14622479	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33557_2022	EPI_ISL_14622478	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33556_2022	EPI_ISL_14622477	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33555_2022	EPI_ISL_14622476	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33552_2022	EPI_ISL_14622473	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33551_2022	EPI_ISL_14622472	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33514_2022	EPI_ISL_14622435	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33513_2022	EPI_ISL_14622434	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-33481_2022	EPI_ISL_14622402	2022-02-12	Belgium	leuven
hCoV-19_Belgium_rega-33480_2022	EPI_ISL_14622401	2022-02-12	Belgium	leuven
hCoV-19_Belgium_rega-33479_2022	EPI_ISL_14622400	2022-02-12	Belgium	leuven
hCoV-19_Belgium_rega-33127_2022	EPI_ISL_14622049	2022-01-27	Belgium	leuven
